Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition
7390, 753, 0, 0, 0, 9261, 0, 0
7400, 752, 0, 78, 0, 9279, 0, 0
7420, 753, 0, 72, 0, 9291, 0, 0
7436, 752, 0, 44, 0, 9309, 0, 0
7456, 751, 0, 47, 0, 9329, 0, 0
7477, 750, 0, 55, 0, 9346, 0, 0
7503, 751, 0, 30, 0, 9376, 0, 0
7524, 749, 0, 24, 0, 9404, 0, 0
7539, 747, 0, 43, 0, 9411, 0, 0
7560, 749, 0, 31, 0, 9428, 0, 0
7580, 748, 0, 48, 0, 9472, 0, 0
7606, 752, 0, 0, 0, 9477, 0, 0
7621, 754, 0, 47, 0, 9496, 0, 0
7642, 754, 0, 42, 0, 9511, 0, 0
7657, 756, 0, 48, 0, 9528, 0, 0
7672, 756, 0, 0, 0, 9546, 0, 0
7703, 760, 0, 25, 0, 9572, 0, 0
7718, 761, 0, 55, 0, 9589, 0, 0
7724, 762, 0, 17, 0, 9616, 0, 0
7754, 764, 0, 25, 0, 9626, 0, 0
7770, 766, 0, 0, 0, 9643, 0, 0
7790, 767, 0, 0, 0, 9664, 0, 0
7805, 768, 0, 0, 0, 9686, 0, 0
7831, 769, 0, 0, 0, 9705, 0, 0
7846, 769, 0, 0, 0, 9718, 0, 0
7862, 768, 0, 43, 0, 9733, 0, 0
7894, 760, 0, 9, 0, 9766, 0, 0
7904, 756, 0, 18, 0, 9776, 0, 0
7924, 751, 0, 14, 0, 9793, 0, 0
7940, 744, 0, 48, 0, 9809, 0, 0
7955, 741, 0, 26, 0, 9827, 0, 0
7960, 740, 0, 58, 0, 9853, 0, 0
7991, 729, 0, 0, 0, 9868, 0, 0
8011, 724, 0, 0, 0, 9893, 0, 0
8073, 719, 0, 0, 0, 9944, 0, 0
8088, 717, 0, 0, 0, 9962, 0, 0
8109, 717, 0, 0, 0, 9978, 0, 0
8124, 716, 0, 17, 0, 9995, 0, 0
8129, 716, 0, 0, 0, 10015, 0, 0
8155, 717, 0, 45, 0, 10028, 0, 0
8170, 714, 0, 0, 0, 10045, 0, 0
8190, 701, 0, 0, 0, 10067, 0, 0
8206, 695, 0, 0, 0, 10078, 0, 0
8226, 672, 0, 0, 0, 10098, 0, 0
8242, 641, 0, 52, 0, 10111, 0, 0
8257, 590, 0, 84, 0, 10129, 0, 0
8267, 546, 0, 0, 0, 10144, 0, 0
8289, 377, 0, 0, 0, 10162, 0, 0
8309, 179, 0, 0, 0, 10180, 0, 0
8325, 68, 0, 33, 0, 10194, 0, 0
8340, 32, 0, 139, 0, 10212, 0, 0
8354, 0, 0, 50, 0, 10229, 0, 0
8375, 0, 0, 49, 0, 10245, 0, 0
8390, 0, 0, 0, 0, 10261, 0, 0
8406, 0, 0, 34, 0, 10279, 0, 0
8420, 0, 0, 134, 0, 10295, 0, 0
8440, 0, 0, 86, 0, 10311, 0, 0
8456, 0, 0, 107, 0, 10327, 0, 0
8471, 0, 0, 0, 0, 10345, 0, 0
8491, 0, 0, 16, 0, 10363, 0, 0
8506, 0, 0, 0, 0, 10378, 0, 0
8526, 0, 0, 0, 0, 10395, 0, 0
8547, 0, 0, 0, 0, 10419, 0, 0
8566, 0, 0, 0, 0, 10438, 0, 0
8582, 0, 0, 148, 0, 10453, 0, 0
8597, 0, 0, 135, 0, 10471, 0, 0
8612, 0, 0, 0, 0, 10487, 0, 0
8632, 0, 0, 0, 0, 10504, 0, 0
8647, 0, 0, 0, 0, 10521, 0, 0
8663, 0, 0, 125, 0, 10537, 0, 0
8678, 0, 0, 149, 0, 10552, 0, 0
8698, 0, 0, 156, 0, 10571, 0, 0
8713, 0, 0, 17, 0, 10587, 0, 0
8728, 0, 0, 0, 0, 10602, 0, 0
8743, 0, 0, 108, 0, 10619, 0, 0
8764, 0, 0, 104, 0, 10640, 0, 0
8779, 0, 0, 200, 0, 10652, 0, 0
8799, 0, 0, 187, 0, 10672, 0, 0
8814, 0, 0, 60, 0, 10688, 0, 0
8829, 0, 0, 0, 0, 10703, 0, 0
8850, 0, 0, 0, 0, 10721, 0, 0
8864, 0, 0, 17, 0, 10737, 0, 0
8880, 0, 0, 149, 0, 10753, 0, 0
8895, 0, 0, 66, 0, 10770, 0, 0
8915, 0, 0, 54, 0, 10787, 0, 0
8935, 0, 0, 34, 0, 10803, 0, 0
8950, 0, 0, 0, 0, 10821, 0, 0
8966, 0, 0, 0, 0, 10837, 0, 0
8980, 0, 0, 82, 0, 10853, 0, 0
9000, 0, 0, 124, 0, 10871, 0, 0
9016, 0, 0, 64, 0, 10887, 0, 0
9031, 0, 0, 32, 0, 10907, 0, 0
9047, 0, 0, 0, 0, 10921, 0, 0
9066, 0, 0, 0, 0, 10936, 0, 0
9076, 0, 0, 113, 0, 10953, 0, 0
9097, 0, 0, 148, 0, 10971, 0, 0
9112, 0, 0, 0, 0, 10987, 0, 0
9132, 0, 0, 0, 0, 11003, 0, 0
9152, 0, 0, 3, 0, 11021, 0, 0
9167, 0, 0, 0, 0, 11037, 0, 0
9183, 0, 0, 117, 0, 11054, 0, 0
9197, 0, 0, 144, 0, 11071, 0, 0
9212, 0, 0, 13, 0, 11086, 0, 0
9228, 0, 0, 0, 0, 11102, 0, 0
9248, 0, 0, 0, 0, 11121, 0, 0
9264, 0, 0, 72, 0, 11138, 0, 0
9283, 0, 0, 68, 0, 11153, 0, 0
9298, 0, 0, 158, 144, 11171, 0, 0
9314, 0, 0, 46, 202, 11188, 0, 0
9329, 0, 0, 0, 214, 11203, 0, 0
9350, 0, 0, 0, 295, 11221, 0, 0
9365, 0, 0, 3, 357, 11238, 0, 0
9380, 0, 0, 146, 406, 11252, 0, 0
9396, 0, 0, 100, 451, 11271, 0, 0
9417, 0, 0, 126, 499, 11287, 0, 0
9427, 0, 0, 0, 518, 11303, 0, 0
9448, 0, 0, 0, 548, 11321, 0, 0
9463, 0, 0, 70, 561, 11338, 0, 0
9484, 0, 0, 55, 573, 11354, 0, 0
9499, 0, 0, 160, 581, 11371, 0, 0
9515, 0, 0, 83, 589, 11387, 0, 0
9530, 0, 0, 0, 591, 11405, 0, 0
9545, 0, 0, 0, 594, 11421, 0, 0
9566, 0, 0, 0, 594, 11438, 0, 0
9581, 0, 0, 104, 595, 11454, 0, 0
9596, 0, 0, 142, 590, 11471, 0, 0
9612, 0, 0, 17, 586, 11486, 0, 0
9633, 0, 0, 33, 573, 11504, 0, 0
9644, 0, 0, 78, 558, 11519, 0, 0
9664, 0, 0, 54, 518, 11537, 0, 0
9679, 0, 0, 166, 466, 11554, 0, 0
9700, 0, 0, 162, 371, 11572, 0, 0
9710, 0, 0, 0, 311, 11585, 0, 0
9731, 0, 0, 0, 150, 11604, 0, 0
9746, 0, 0, 0, 25, 11621, 0, 0
9766, 0, 0, 0, 0, 11638, 0, 0
9782, 0, 0, 136, 0, 11654, 0, 0
9796, 0, 0, 153, 0, 11671, 0, 0
9811, 0, 0, 4, 0, 11687, 0, 0
9827, 0, 0, 0, 0, 11703, 0, 0
9847, 0, 0, 0, 0, 11721, 0, 0
9863, 0, 0, 110, 0, 11738, 0, 0
9877, 0, 0, 173, 0, 11753, 0, 0
9897, 0, 0, 180, 0, 11771, 0, 0
9918, 0, 0, 194, 0, 11787, 0, 0
9933, 0, 0, 47, 0, 11804, 0, 0
9943, 0, 0, 89, 0, 11819, 0, 0
9963, 0, 0, 78, 0, 11838, 0, 0
9984, 0, 0, 61, 0, 11854, 0, 0
9999, 0, 0, 190, 5, 11871, 0, 0
10014, 0, 0, 150, 180, 11888, 0, 0
10030, 0, 0, 0, 211, 11904, 0, 0
10045, 0, 0, 0, 283, 11921, 0, 0
10060, 0, 0, 149, 348, 11938, 0, 0
10082, 0, 0, 126, 425, 11955, 0, 0
10097, 0, 0, 169, 454, 11971, 0, 0
10118, 0, 0, 170, 506, 11988, 0, 0
10128, 0, 0, 0, 531, 12003, 0, 0
10144, 0, 0, 29, 551, 12021, 0, 0
10160, 0, 0, 169, 560, 12037, 0, 0
10175, 0, 0, 117, 565, 12054, 0, 0
10195, 0, 0, 137, 569, 12071, 0, 0
10216, 0, 0, 150, 573, 12088, 0, 0
10227, 0, 0, 0, 572, 12104, 0, 0
10253, 0, 0, 49, 561, 12122, 0, 0
10263, 0, 0, 53, 556, 12138, 0, 0
10273, 0, 0, 72, 548, 12152, 0, 0
10295, 0, 0, 100, 514, 12171, 0, 0
10310, 0, 0, 0, 480, 12189, 0, 0
10336, 0, 0, 141, 410, 12214, 0, 0
10351, 0, 0, 12, 358, 12233, 0, 0
10378, 0, 0, 168, 258, 12250, 0, 0
10393, 0, 0, 55, 213, 12266, 0, 0
10408, 0, 0, 0, 160, 12283, 0, 0
10429, 0, 0, 0, 96, 12299, 0, 0
10444, 0, 0, 0, 51, 12316, 0, 0
10455, 0, 0, 120, 42, 12332, 0, 0
10476, 0, 0, 137, 47, 12352, 0, 0
10491, 0, 0, 4, 50, 12366, 0, 0
10512, 0, 0, 16, 62, 12384, 0, 0
10527, 0, 0, 0, 82, 12398, 0, 0
10543, 0, 0, 66, 114, 12417, 0, 0
10558, 0, 0, 162, 164, 12432, 0, 0
10573, 0, 0, 82, 233, 12450, 0, 0
10590, 0, 0, 0, 302, 12466, 0, 0
10610, 0, 0, 0, 391, 12484, 0, 0
10626, 0, 0, 0, 444, 12498, 0, 0
10641, 0, 0, 104, 476, 12515, 0, 0
10662, 0, 0, 83, 508, 12535, 0, 0
10673, 0, 0, 41, 518, 12549, 0, 0
10693, 0, 0, 65, 536, 12567, 0, 0
10708, 0, 0, 0, 544, 12583, 0, 0
10729, 0, 0, 0, 550, 12601, 0, 0
10740, 0, 0, 138, 553, 12616, 0, 0
10761, 0, 0, 117, 557, 12634, 0, 0
10781, 0, 0, 92, 554, 12651, 0, 0
10791, 0, 0, 23, 551, 12666, 0, 0
10807, 0, 0, 0, 544, 12682, 0, 0
10823, 0, 0, 47, 539, 12699, 0, 0
10844, 0, 0, 17, 515, 12717, 0, 0
10859, 0, 0, 141, 487, 12733, 0, 0
10880, 0, 0, 129, 444, 12749, 0, 0
10896, 0, 0, 127, 395, 12767, 0, 0
10911, 0, 0, 12, 345, 12784, 0, 0
10927, 0, 0, 0, 301, 12799, 0, 0
10947, 0, 0, 0, 269, 12819, 0, 0
10962, 0, 0, 34, 237, 12838, 0, 0
10979, 0, 0, 145, 224, 12853, 0, 0
10994, 0, 0, 98, 230, 12871, 0, 0
11015, 0, 0, 116, 248, 12888, 0, 0
11030, 0, 0, 0, 277, 12904, 0, 0
11052, 0, 0, 15, 339, 12921, 0, 0
11067, 0, 0, 0, 389, 12939, 0, 0
11077, 0, 0, 144, 427, 12953, 0, 0
11098, 0, 0, 141, 479, 12970, 0, 0
11113, 0, 0, 78, 512, 12988, 0, 0
11129, 0, 0, 0, 539, 13004, 0, 0
11145, 0, 0, 0, 556, 13021, 0, 0
11165, 0, 0, 0, 563, 13037, 0, 0
11181, 0, 0, 89, 565, 13055, 0, 0
11196, 0, 0, 139, 565, 13071, 0, 0
11212, 0, 0, 35, 561, 13087, 0, 0
11228, 0, 0, 0, 551, 13104, 0, 0
11248, 0, 0, 0, 520, 13121, 0, 0
11264, 0, 0, 0, 475, 13138, 0, 0
11285, 0, 0, 0, 372, 13154, 0, 0
11300, 0, 0, 113, 179, 13171, 0, 0
11311, 0, 0, 0, 24, 13188, 0, 0
11326, 0, 0, 0, 0, 13203, 0, 0
11346, 0, 0, 0, 0, 13220, 0, 0
11362, 0, 0, 97, 0, 13237, 0, 0
11382, 0, 0, 77, 0, 13254, 0, 0
11397, 0, 0, 176, 0, 13271, 0, 0
11412, 0, 0, 64, 0, 13287, 0, 0
11432, 0, 0, 64, 0, 13304, 0, 0
11448, 0, 0, 0, 0, 13321, 0, 0
11463, 0, 0, 0, 0, 13338, 0, 0
11479, 0, 0, 136, 0, 13353, 0, 0
11494, 0, 0, 105, 0, 13371, 0, 0
11514, 0, 0, 129, 0, 13386, 0, 0
11530, 0, 0, 0, 0, 13404, 0, 0
11545, 0, 0, 0, 0, 13420, 0, 0
11559, 0, 0, 141, 0, 13438, 0, 0
11575, 0, 0, 167, 0, 13453, 0, 0
11595, 0, 0, 185, 0, 13471, 0, 0
11611, 0, 0, 30, 0, 13486, 0, 0
11631, 0, 0, 48, 0, 13503, 0, 0
11646, 0, 0, 0, 0, 13522, 0, 0
11662, 0, 0, 96, 0, 13537, 0, 0
11677, 0, 0, 174, 0, 13555, 0, 0
11698, 0, 0, 253, 0, 13570, 0, 0
11713, 0, 0, 127, 0, 13588, 0, 0
11728, 0, 0, 0, 0, 13604, 0, 0
11749, 0, 0, 0, 0
, 13621, 0, 0
11764, 0, 0, 0, 0, 13638, 0, 0
11780, 0, 0, 237, 0, 13653, 0, 0
11799, 0, 0, 138, 0, 13672, 0, 0
11809, 0, 0, 5, 0, 13686, 0, 0
11825, 0, 0, 0, 0, 13703, 0, 0
11845, 0, 0, 0, 0, 13721, 0, 0
11860, 0, 0, 277, 0, 13738, 0, 0
11881, 0, 0, 59, 0, 13754, 0, 0
11896, 0, 0, 370, 0, 13771, 0, 0
11912, 0, 0, 355, 0, 13788, 0, 0
11927, 0, 0, 958, 0, 13802, 0, 0
11948, 0, 0, 994, 0, 13822, 0, 0
11963, 0, 0, 1001, 0, 13838, 0, 0
11979, 0, 0, 1008, 0, 13853, 0, 0
11995, 0, 0, 1012, 0, 13870, 0, 0
12010, 0, 0, 1013, 0, 13888, 0, 0
12025, 0, 0, 1015, 0, 13903, 0, 0
12046, 0, 0, 1017, 0, 13921, 0, 0
12067, 0, 0, 1017, 0, 13938, 0, 0
12083, 0, 0, 1017, 0, 13955, 0, 0
12098, 0, 0, 1019, 0, 13971, 0, 0
12113, 0, 0, 1017, 0, 13988, 0, 0
12129, 0, 0, 1015, 0, 14003, 0, 0
12145, 0, 0, 1013, 0, 14021, 0, 0
12161, 0, 0, 1008, 0, 14038, 0, 0
12181, 0, 0, 1001, 0, 14055, 0, 0
12196, 0, 0, 999, 0, 14071, 0, 0
12212, 0, 0, 995, 0, 14088, 0, 0
12227, 0, 0, 994, 0, 14104, 0, 0
12242, 0, 0, 991, 0, 14121, 0, 0
12263, 0, 0, 992, 0, 14138, 0, 0
12279, 0, 0, 993, 0, 14153, 0, 0
12295, 0, 0, 998, 0, 14171, 0, 0
12315, 0, 0, 995, 0, 14187, 0, 0
12325, 0, 0, 996, 0, 14204, 0, 0
12346, 0, 0, 1001, 0, 14221, 0, 0
12361, 0, 0, 1007, 0, 14238, 0, 0
12382, 0, 0, 1011, 0, 14255, 0, 0
12398, 0, 0, 1015, 0, 14271, 0, 0
12413, 0, 0, 1016, 0, 14286, 0, 0
12429, 0, 0, 1017, 0, 14303, 0, 0
12444, 0, 0, 1017, 0, 14321, 0, 0
12465, 0, 0, 1017, 0, 14338, 0, 0
12476, 0, 0, 1018, 0, 14352, 0, 0
12496, 0, 0, 1020, 0, 14370, 0, 0
12517, 0, 0, 1020, 0, 14388, 0, 0
12532, 0, 0, 1019, 0, 14404, 0, 0
12549, 0, 0, 1018, 0, 14421, 0, 0
12564, 0, 0, 1017, 0, 14438, 0, 0
12579, 0, 0, 1019, 0, 14454, 0, 0
12595, 0, 0, 1018, 0, 14472, 0, 0
12616, 0, 0, 1018, 0, 14488, 0, 0
12632, 0, 0, 1018, 0, 14504, 0, 0
12647, 0, 0, 1017, 0, 14522, 0, 0
12662, 0, 0, 1016, 0, 14538, 0, 0
12678, 0, 0, 1015, 0, 14554, 0, 0
12694, 0, 0, 1009, 0, 14572, 0, 0
12709, 0, 0, 993, 0, 14587, 0, 0
12730, 0, 0, 896, 0, 14604, 0, 0
12750, 0, 0, 677, 0, 14622, 0, 0
12761, 0, 0, 478, 0, 14638, 0, 0
12776, 0, 0, 482, 0, 14654, 0, 0
